缇	緹
缈	緲
缉	緝
缊	縕
缋	繢
缌	緦
缍	綞
缎	緞
缏	緶
缐	線
缑	緱
缒	縋
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	緣
缙	縉
缚	縛
缛	縟
缜	縝
缝	縫
缞	縗
缟	縞
缠	纏
缡	縭
缢	縊
缣	縑
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缰	韁
缱	繾
缲	繰
缳	繯
缴	繳
缵	纘
罂	罌
网	網
罗	羅
罚	罰
罢	罷
罴	羆
羁	羈
羗	羌
羟	羥
羡	羨
羣	群
羮	羹
翘	翹
翙	翽
翚	翬
考	考
耠	
耢	勞
耥	尚
耧	耬
耸	聳
耻	恥
聂	聶
聋	聾
职	職
聍	聹
联	聯
聩	聵
聪	聰
肀	聿
肃	肅
肠	腸
肤	膚
肮	骯
肴	肴
肷	欠
肾	腎
肿	腫
胀	脹
胁	脅
胄	胄
胆	膽
背	背
胜	勝
胡	胡
胧	朧
胨	東
胪	臚
胫	脛
胶	膠
脉	脈
脍	膾
脏	髒
脐	臍
脑	腦
脓	膿
脔	臠
脚	腳
脱	脫
脲	反
脶	腡
脸	臉
腊	臘
腌	醃
腘	膕
腭	齶
腻	膩
腼	靦
腽	膃
腾	騰
膑	臏
臓	摹
臜	臢
致	致
舆	輿
舍	舍
舣	艤
舰	艦
舱	艙
舻	艫
艰	艱
艳	艷
艹	艸
艺	藝
节	節
芈	羋
芗	薌
芜	蕪
芦	蘆
芸	蕓
苁	蓯
苄	芐
苇	葦
苈	藶
苋	莧
苌	萇
苍	蒼
苎	苧
苏	蘇
苘	萵
苷	甘
苹	蘋
范	範
茎	莖
茏	蘢
茑	蔦
茔	塋
茕	煢
茧	繭
荆	荊
荐	薦
荙	薘
荚	莢
荛	蕘
荜	蓽
荞	蕎
荟	薈
荠	薺
荡	蕩
荣	榮
荤	葷
荥	滎
荦	犖
荧	熒
荨	蕁
荩	藎
荪	蓀
荫	蔭
荬	賣
荭	葒
荮	紂
药	藥
莅	蒞
莜	蓨
莱	萊
莲	蓮
莳	蒔
莴	萵
莶	薟
获	獲
莸	蕕
莹	瑩
莺	鶯
莼	蓴
菭	恰
萚	蘀
萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
葱	蔥
蒇	蕆
蒉	蕢
蒋	蔣
蒌	蔞
蒙	蒙
蓑	蓑
蓝	藍
蓟	薊
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蔷	薔
蔹	蘞
蔺	藺
蔼	藹
蕲	蘄
蕴	蘊
薮	藪
藁	槁
藓	蘚
蘖	蘗
虏	虜
虑	慮
虚	虛
虫	蟲
虬	虯
虮	蟣
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚕	蠶
蚬	蜆
蛊	蠱
蛎	蠣
蛏	蟶
蛮	蠻
蛰	蟄
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蜕	蛻
蜖	汀
蜗	蝸
蜡	蠟
蝇	蠅
蝈	蟈
蝉	蟬
蝎	蠍
蝼	螻
蝾	蠑
蝿	蠅
螀	螿
螨	顢
蟏	蠨
蟮	蟺
蠎	蟒
蠼	蠼
衅	釁
衔	銜
衤	衣
补	補
表	表
衬	襯
衮	袞
袄	襖
袅	裊
袆	褘
袜	襪
袭	襲
袯	襏
袴	褲
装	裝
裆	襠
裈	褌
裢	褳
裣	襝
裤	褲
裥	襉
褛	褸
褴	襤
襕	襴
覇	霸
覚	覺
覧	覽
覩	睹
见	見
观	觀
规	規
觅	覓
视	視
觇	覘
览	覽
觉	覺
觊	覬
觋	覡
觌	覿
觎	覦
觏	覯
觐	覲
觑	覷
觗	觝
觞	觴
触	觸
觯	觶
訡	吟
詟	讋
詤	謊
誀	浴
誉	譽
誊	謄
説	說
読	讀
讁	謫
讠	言
计	計
订	訂
讣	訃
认	認
讥	譏
讦	訐
讧	訌
讨	討
让	讓
讪	訕
讫	訖
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	諱
讴	謳
讵	詎
讶	訝
讷	訥
许	許
讹	訛
论	論
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	証
诂	詁
诃	訶
评	評
诅	詛
识	識
诇	詗
诈	詐
诉	訴
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	譯
诒	詒
诓	誆
诔	誄
试	試
诖	詿
诗	詩
诘	詰
诙	詼
诚	誠
诛	誅
诜	詵
话	話
诞	誕
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诨	諢
诩	詡
诪	譸
诫	誡
诬	誣
语	語
诮	誚
误	誤
诰	誥
诱	誘
诲	誨
诳	誑
说	說
诵	誦
诶	誒
请	請
诸	諸
诹	諏
诺	諾
读	讀
诼	諑
诽	誹
课	課
诿	諉
谀	諛
谁	誰
谂	諗
调	調
谄	諂
谅	諒
谆	諄
谇	誶
谈	談
谊	誼
谋	謀
谌	諶
谍	諜
谎	謊
谏	諫
谐	諧
谑	謔
谒	謁
谓	謂
谔	諤
谕	諭
谖	諼
谗	讒
谘	諮
谙	諳
谚	諺
谛	諦
谜	謎
谝	諞
谞	住
谟	謨
谠	讜
谡	謖
谢	謝
谣	謠
谤	謗
谥	謚
谦	謙
谧	謐
谨	謹
谩	謾
谪	謫
谫	譾
谬	謬
谭	譚
谮	譖
谯	譙
谰	讕
谱	譜
谲	譎
谳	讞
谴	譴
谵	譫
谶	讖
谷	谷
豆	豆
豮	豶
貭	亍
貮	貳
賍	贓
賎	賤
賖	賒
賘	髒
贋	贗
贘	償
贝	貝
贞	貞
负	負
贡	貢
财	財
责	責
贤	賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	貶
购	購
贮	貯
贯	貫
贰	貳
贱	賤
贲	賁
贳	貰
贴	貼
贵	貴
贶	貺
贷	貸
贸	貿
费	費
贺	賀
贻	貽
贼	賊
贽	贄
贾	賈
贿	賄
赀	貲
赁	賃
赂	賂
赃	贓
资	資
赅	賅
赆	贐
赇	賕
赈	賑
赉	賚
赊	賒
赋	賦
赌	賭
赍	齎
赎	贖
赏	賞
赐	賜
赑	贔
赒	賙
赓	賡
赔	賠
赕	賧
赖	賴
赗	賵
赘	贅
赙	賻
赚	賺
赛	賽
赜	賾
赝	贗
赞	贊
赟	贇
赠	贈
赡	贍
赢	贏
赣	贛
赪	赬
赵	趙
赶	趕
趋	趨
趱	趲
趸	躉
跃	躍
跄	蹌
跞	躒
践	踐
跶	躂
跷	蹺
跸	蹕
跹	躚
跻	躋
踊	踊
踌	躊
踪	蹤
踬	躓
踯	躑
蹑	躡
蹒	蹣
蹰	躕
蹿	躥
躏	躪
躜	躦
躯	軀
车	車
轧	軋
轨	軌
轩	軒
轪	軑
轫	軔
转	轉
轭	軛
轮	輪
软	軟
轰	轟
轱	古
轲	軻
轳	轤
轴	軸
轵	軹
轶	軼
轷	乎
轸	軫
轹	轢
轺	軺
轻	輕
轼	軾
载	載
轾	輊
轿	轎
辀	輈
辁	輇
辂	輅
较	較
辄	輒
辅	輔
辆	輛
辇	輦
辈	輩
辉	輝
辊	輥
辋	輞
辌	輬
辍	輟
辎	輜
辏	輳
辐	輻
辑	輯
辒	轀
输	輸
辔	轡
辕	轅
辖	轄
辗	輾
辘	轆
辙	轍
辚	轔
辞	辭
辟	闢
辩	辯
辫	辮
辬	辨
边	邊
辽	遼
达	達
迁	遷
过	過
迈	邁
运	運
还	還
这	這
进	進
